customer_id,gender,state,age,age_group,married,kids_under12,register_year,drop_flag,drop_year
C5108,F,AR,44,40s,M,Y,2014,N,.
C5109,M,CA,55,50s,M,N,2014,N,.
C5110,M,NV,44,40s,M,N,2014,Y,2015
C5111,F,VA,34,30s,M,Y,2014,N,.
C5112,F,FL,66,60s+,M,N,2014,N,.
C5113,F,NC,39,30s,M,N,2014,N,.
C5114,F,TX,40,40s,M,Y,2014,N,.
C5115,M,MD,63,60s+,M,N,2014,Y,2015
C5116,M,VA,59,50s,M,N,2014,N,.
C5117,F,CA,19,10s,S,N,2014,N,.
C5118,F,SC,22,20s,M,Y,2014,N,.
C5119,M,CA,47,40s,M,N,2014,N,.
C5120,F,NY,85,60s+,S,N,2014,N,.
C5121,F,AR,58,50s,S,N,2014,N,.
C5122,M,FL,42,40s,M,Y,2014,N,.
C5123,M,NC,40,40s,M,Y,2014,N,.
C5124,F,NC,29,20s,M,Y,2014,N,.
C5125,M,NC,58,50s,M,N,2014,Y,2015
C5126,F,LA,48,40s,S,N,2014,N,.
C5127,M,NY,19,10s,S,N,2014,N,.
C5128,F,MD,25,20s,S,N,2014,N,.
C5129,F,SC,51,50s,M,N,2014,N,.
C5130,F,NC,48,40s,M,Y,2014,N,.
C5131,F,NC,23,20s,S,N,2014,N,.
C5132,F,AL,55,50s,M,N,2014,N,.
C5133,M,CA,28,20s,M,Y,2014,N,.
C5134,M,LA,31,30s,M,N,2014,N,.
C5135,M,NC,50,50s,M,Y,2014,N,.
C5136,M,CA,52,50s,M,Y,2014,Y,2015
C5137,M,NY,33,30s,M,N,2014,N,.
C5138,F,NY,22,20s,M,N,2014,N,.
C5139,F,GA,49,40s,S,N,2014,N,.
C5140,M,TN,29,20s,S,N,2014,N,.
C5141,F,NV,33,30s,M,N,2014,Y,2015
C5142,F,FL,46,40s,M,Y,2014,N,.
C5143,F,MD,40,40s,M,Y,2014,N,.
C5144,F,TX,40,40s,M,Y,2014,N,.
C5145,M,WV,25,20s,S,N,2014,N,.
C5146,F,KY,20,20s,S,N,2014,N,.
C5147,M,CA,77,60s+,S,N,2014,N,.
C5148,M,FL,39,30s,M,Y,2014,N,.
C5149,F,FL,30,30s,S,N,2014,Y,2015
C5150,F,CA,60,60s+,M,N,2014,N,.
C5151,M,TN,55,50s,M,N,2014,N,.
C5152,M,NV,46,40s,M,Y,2014,N,.
C5153,F,WV,61,60s+,M,N,2014,N,.
C5154,M,NY,54,50s,M,Y,2014,N,.
C5155,F,CA,38,30s,M,Y,2014,N,.
C5156,F,VA,34,30s,S,N,2014,N,.
C5157,F,NV,64,60s+,S,N,2014,Y,2015
C5158,M,CA,63,60s+,S,N,2014,N,.
C5159,F,CA,47,40s,S,Y,2014,Y,2015
C5160,F,GA,60,60s+,M,N,2014,N,.
C5161,F,AL,41,40s,M,Y,2014,N,.
C5162,F,TN,55,50s,S,N,2014,N,.
C5163,M,MD,77,60s+,S,N,2014,N,.
C5164,F,CA,31,30s,S,N,2014,N,.
C5165,M,TX,49,40s,M,Y,2014,N,.
C5166,F,NY,25,20s,M,N,2014,N,.
C5167,F,TX,59,50s,M,N,2014,N,.
C5168,F,VA,27,20s,M,Y,2014,N,.
C5169,M,OH,47,40s,S,N,2014,N,.
C5170,M,NC,34,30s,M,N,2014,N,.
C5171,F,NJ,63,60s+,S,N,2014,N,.
C5172,M,AZ,37,30s,S,N,2014,N,.
C5173,F,LA,18,10s,S,N,2014,N,.
C5174,M,MI,68,60s+,S,N,2014,Y,2015
C5175,F,NC,45,40s,M,Y,2014,N,.
C5176,F,NC,54,50s,M,Y,2014,N,.
C5177,F,WI,39,30s,M,Y,2014,N,.
C5178,F,TX,49,40s,M,Y,2014,Y,2015
C5179,F,FL,58,50s,S,N,2014,N,.
C5180,M,CA,56,50s,M,N,2014,N,.
C5181,M,CA,22,20s,M,Y,2014,N,.
C5182,F,FL,74,60s+,S,N,2014,N,.
C5183,F,DC,39,30s,M,Y,2014,N,.
C5184,M,SC,26,20s,S,N,2014,N,.
C5185,M,TX,30,30s,M,Y,2014,N,.
C5186,F,NY,24,20s,M,N,2014,N,.
C5187,M,CA,26,20s,S,N,2014,N,.
C5188,M,SC,45,40s,M,Y,2014,N,.
C5189,F,NC,85,60s+,M,N,2014,Y,2015
C5190,M,IN,38,30s,S,N,2014,N,.
C5191,F,MS,62,60s+,S,N,2014,Y,2015
C5192,M,SC,83,60s+,M,N,2014,N,.
C5193,F,NV,49,40s,M,Y,2014,N,.
C5194,M,LA,59,50s,M,N,2014,N,.
C5195,M,NC,61,60s+,S,N,2014,N,.
C5196,F,FL,72,60s+,S,N,2014,N,.
C5197,F,TX,55,50s,M,N,2014,N,.
C5198,M,MD,62,60s+,S,N,2014,N,.
C5199,M,PA,28,20s,S,N,2014,Y,2015
C5200,F,NC,33,30s,M,Y,2014,N,.
C5201,M,KY,49,40s,M,N,2014,N,.
C5202,M,SC,73,60s+,M,N,2014,N,.
C5203,F,IN,30,30s,S,N,2014,N,.
C5204,M,AL,68,60s+,S,N,2014,N,.
C5205,F,TN,47,40s,M,Y,2014,N,.
C5206,M,TN,70,60s+,M,N,2014,N,.
C5207,F,CA,21,20s,S,N,2014,N,.
C5208,M,CA,38,30s,M,Y,2014,N,.
C5209,F,NC,73,60s+,S,N,2014,N,.
C5210,M,AR,29,20s,M,Y,2014,N,.
C5211,M,CA,27,20s,M,N,2014,N,.
C5212,M,CA,33,30s,M,N,2014,Y,2015
C5213,M,SC,32,30s,S,N,2014,N,.
C5214,M,TX,29,20s,M,Y,2014,N,.
C5215,F,NC,31,30s,M,N,2014,N,.
C5216,M,NC,81,60s+,S,N,2014,N,.
C5217,M,IL,44,40s,M,N,2014,N,.
C5218,F,NC,53,50s,M,Y,2014,N,.
C5219,F,IL,25,20s,S,N,2014,N,.
C5220,M,VA,48,40s,M,Y,2014,Y,2015
C5221,F,SC,28,20s,M,Y,2014,N,.
C5222,F,PA,65,60s+,M,N,2014,N,.
C5223,F,SC,45,40s,M,Y,2014,N,.
C5224,M,SC,20,20s,M,N,2014,N,.
C5225,F,FL,49,40s,S,N,2014,N,.
C5226,F,NC,51,50s,M,Y,2014,Y,2015
C5227,F,KY,46,40s,M,N,2014,N,.
C5228,F,NC,30,30s,M,Y,2014,N,.
C5229,M,VA,40,40s,M,Y,2014,N,.
C5230,F,NV,63,60s+,S,N,2014,N,.
C5231,F,IL,29,20s,M,Y,2014,N,.
C5232,M,AL,43,40s,S,N,2014,Y,2015
C5233,M,IL,38,30s,M,Y,2014,N,.
C5234,M,PA,51,50s,M,Y,2014,N,.
C5235,F,AL,57,50s,M,N,2014,N,.
C5236,M,MA,28,20s,S,N,2014,N,.
C5237,M,NC,33,30s,M,Y,2014,N,.
C5238,F,NC,66,60s+,M,N,2014,Y,2015
C5239,M,NC,50,50s,M,N,2014,N,.
C5240,M,SC,39,30s,M,Y,2014,N,.
C5241,F,MI,38,30s,M,Y,2014,N,.
C5242,M,MI,58,50s,M,N,2014,N,.
C5243,M,CA,38,30s,S,N,2014,N,.
C5244,F,TX,26,20s,S,Y,2014,Y,2015
C5245,F,NC,43,40s,M,N,2014,N,.
C5246,M,SC,48,40s,M,N,2014,N,.
C5247,F,SC,77,60s+,S,N,2014,N,.
C5248,F,TX,28,20s,M,Y,2014,N,.
C5249,F,NC,24,20s,M,Y,2014,N,.
C5250,F,VA,73,60s+,S,N,2014,N,.
C5251,M,IN,70,60s+,M,N,2014,N,.
C5252,M,AR,53,50s,S,N,2014,Y,2015
C5253,M,OH,39,30s,M,N,2014,N,.
C5254,M,WI,51,50s,M,N,2014,N,.
C5255,F,CA,60,60s+,S,N,2014,N,.
C5256,M,CA,64,60s+,S,N,2014,N,.
C5257,F,CA,71,60s+,M,N,2014,N,.
C5258,M,DC,53,50s,S,N,2014,N,.
C5259,F,CA,36,30s,M,Y,2014,N,.
C5260,F,KY,60,60s+,M,N,2014,Y,2015
C5261,M,TX,61,60s+,S,N,2014,N,.
C5262,M,WV,68,60s+,S,N,2014,N,.
C5263,M,NC,45,40s,M,Y,2014,N,.
C5264,F,NC,44,40s,M,Y,2014,N,.
C5265,M,GA,51,50s,M,Y,2014,N,.
C5266,M,MD,28,20s,M,Y,2014,N,.
C5267,M,NY,56,50s,M,N,2014,Y,2015
C5268,F,NV,30,30s,S,N,2014,N,.
C5269,M,NV,31,30s,M,Y,2014,N,.
C5270,M,NC,35,30s,S,N,2014,N,.
C5271,F,CA,23,20s,M,N,2014,N,.
C5272,M,NJ,57,50s,M,N,2014,N,.
C5273,F,MD,53,50s,M,Y,2014,N,.
C5274,M,CA,26,20s,S,N,2014,N,.
C5275,F,FL,62,60s+,M,N,2014,N,.
C5276,F,TX,21,20s,S,Y,2014,Y,2015
C5277,M,MI,50,50s,M,N,2014,N,.
C5278,F,CA,35,30s,M,Y,2014,N,.
C5279,M,PA,78,60s+,S,N,2014,N,.
C5280,F,GA,34,30s,M,Y,2014,N,.
C5281,M,MI,38,30s,M,Y,2014,N,.
C5282,M,SC,69,60s+,M,N,2014,Y,2015
C5283,M,NC,25,20s,M,N,2014,N,.
C5284,F,NC,33,30s,S,N,2014,N,.
C5285,F,CA,63,60s+,M,N,2014,N,.
C5286,M,IN,30,30s,S,N,2014,N,.
C5287,F,NV,24,20s,S,N,2014,N,.
C5288,F,AL,32,30s,M,Y,2014,N,.
C5289,M,TX,86,60s+,S,N,2014,N,.
C5290,F,PA,55,50s,M,N,2014,N,.
C5291,M,SC,37,30s,M,Y,2014,Y,2015
C5292,F,CA,18,10s,S,N,2014,N,.
C5293,F,TX,75,60s+,M,N,2014,N,.
C5294,M,DC,57,50s,S,N,2014,N,.
C5295,F,NJ,52,50s,M,N,2014,N,.
C5296,F,NV,29,20s,M,N,2014,N,.
C5297,M,NC,53,50s,M,N,2014,N,.
C5298,F,FL,63,60s+,M,N,2014,N,.
C5299,F,NJ,48,40s,M,Y,2014,N,.
C5300,F,CA,63,60s+,S,N,2014,N,.
C5301,F,FL,58,50s,M,N,2014,N,.
C5302,F,NC,40,40s,S,Y,2014,N,.
C5303,F,PA,67,60s+,S,N,2014,N,.
C5304,M,SC,55,50s,M,N,2014,Y,2015
C5305,M,NJ,24,20s,S,N,2014,N,.
C5306,M,SC,54,50s,M,N,2014,N,.
C5307,M,FL,49,40s,M,Y,2014,N,.
C5308,F,FL,60,60s+,S,N,2014,Y,2015
C5309,M,LA,45,40s,M,Y,2014,N,.
C5310,F,CA,38,30s,M,N,2014,N,.
C5311,F,NV,22,20s,S,N,2014,N,.
C5312,F,OH,59,50s,M,N,2014,N,.
C5313,M,CA,25,20s,S,N,2014,N,.
C5314,F,CA,38,30s,M,Y,2014,Y,2015
C5315,F,CA,63,60s+,M,N,2014,N,.
C5316,M,KY,35,30s,S,N,2014,N,.
C5317,M,NC,46,40s,M,Y,2014,N,.
C5318,F,DC,68,60s+,S,N,2014,N,.
C5319,F,CA,53,50s,M,Y,2014,N,.
C5320,F,AR,19,10s,S,N,2014,N,.
C5321,F,NJ,28,20s,S,N,2014,N,.
C5322,M,CA,74,60s+,S,N,2014,N,.
C5323,M,CA,36,30s,S,N,2014,N,.
C5324,M,CA,57,50s,S,N,2014,Y,2015
C5325,M,NV,50,50s,M,N,2014,N,.
C5326,F,NC,54,50s,M,Y,2014,N,.
C5327,M,SC,40,40s,S,N,2014,N,.
C5328,F,NY,50,50s,M,N,2014,N,.
C5329,F,FL,77,60s+,S,N,2014,N,.
C5330,M,NC,62,60s+,M,N,2014,N,.
C5331,F,NV,60,60s+,M,N,2014,N,.
C5332,F,NV,30,30s,M,N,2014,N,.
C5333,M,GA,27,20s,S,N,2014,N,.
C5334,M,SC,27,20s,M,Y,2014,N,.
C5335,F,PA,43,40s,M,Y,2014,Y,2015
C5336,F,NC,45,40s,M,N,2014,N,.
C5337,M,MI,23,20s,S,N,2014,N,.
C5338,M,AL,68,60s+,S,N,2014,N,.
C5339,F,CT,53,50s,M,N,2014,N,.
C5340,M,IL,23,20s,M,Y,2014,Y,2015
C5341,F,MD,42,40s,S,N,2014,N,.
C5342,M,LA,67,60s+,M,N,2014,N,.
C5343,F,CA,24,20s,S,N,2014,N,.
C5344,M,NC,37,30s,S,N,2014,N,.
C5345,F,RI,28,20s,S,N,2014,Y,2015
C5346,M,NY,72,60s+,S,N,2014,N,.
C5347,M,SC,64,60s+,S,N,2014,N,.
C5348,M,PA,50,50s,M,Y,2014,N,.
C5349,F,NV,37,30s,M,Y,2014,N,.
C5350,M,NV,50,50s,M,Y,2014,N,.
C5351,M,NC,52,50s,M,Y,2014,N,.
C5352,M,OH,44,40s,S,N,2014,N,.
C5353,F,FL,59,50s,M,N,2014,N,.
C5354,F,NY,48,40s,M,N,2014,N,.
C5355,F,NC,61,60s+,M,N,2014,N,.
C5356,M,PA,80,60s+,S,N,2014,N,.
C5357,F,CA,32,30s,M,Y,2014,N,.
C5358,M,MD,29,20s,S,N,2014,Y,2015
C5359,M,MI,45,40s,M,Y,2014,N,.
C5360,F,NY,87,60s+,S,N,2014,N,.
C5361,F,NJ,38,30s,M,N,2014,N,.
C5362,M,NV,27,20s,S,N,2014,N,.
C5363,M,NC,23,20s,M,Y,2014,N,.
C5364,F,CA,41,40s,M,Y,2014,N,.
C5365,M,CA,67,60s+,M,N,2014,N,.
C5366,M,VA,42,40s,M,Y,2014,Y,2015
C5367,F,NV,42,40s,M,Y,2014,N,.
C5368,F,NV,43,40s,M,Y,2014,N,.
C5369,F,MD,49,40s,S,N,2014,N,.
C5370,F,CA,49,40s,M,Y,2014,N,.
C5371,F,SC,42,40s,M,Y,2014,N,.
C5372,M,TX,75,60s+,S,N,2014,N,.
C5373,M,MD,59,50s,S,N,2014,Y,2015
C5374,F,FL,30,30s,S,Y,2014,N,.
C5375,F,SC,61,60s+,M,N,2014,N,.
C5376,M,KY,24,20s,S,N,2014,Y,2015
C5377,F,FL,45,40s,M,Y,2014,N,.
C5378,M,NV,56,50s,M,N,2014,N,.
C5379,F,MD,74,60s+,M,N,2014,N,.
C5380,F,NC,69,60s+,M,N,2014,N,.
C5381,F,NC,29,20s,M,Y,2014,N,.
C5382,M,NV,40,40s,M,N,2014,N,.
C5383,M,NV,60,60s+,M,N,2014,N,.
C5384,M,NC,55,50s,M,N,2014,N,.
C5385,M,NV,33,30s,S,N,2014,N,.
C5386,M,NV,48,40s,M,Y,2014,N,.
C5387,F,OH,82,60s+,S,N,2014,Y,2015
C5388,M,NC,81,60s+,S,N,2014,N,.
C5389,M,GA,24,20s,S,N,2014,N,.
C5390,M,PA,70,60s+,S,N,2014,N,.
C5391,M,NV,45,40s,M,Y,2014,N,.
C5392,M,LA,43,40s,M,N,2014,N,.
C5393,M,TX,51,50s,M,Y,2014,N,.
C5394,F,MD,58,50s,M,N,2014,N,.
C5395,F,CA,28,20s,M,Y,2014,Y,2015
C5396,F,GA,50,50s,M,Y,2014,N,.
C5397,M,NV,53,50s,S,N,2014,N,.
C5398,M,MD,62,60s+,S,N,2014,Y,2015
C5399,M,MD,83,60s+,S,N,2014,N,.
C5400,F,SC,28,20s,M,N,2014,N,.
C5401,F,NY,59,50s,M,N,2014,N,.
C5402,F,CA,47,40s,S,N,2014,N,.
C5403,M,LA,18,10s,S,N,2014,N,.
C5404,M,CT,33,30s,S,N,2014,N,.
C5405,F,TX,28,20s,M,Y,2014,Y,2015
C5406,M,CA,26,20s,S,Y,2014,N,.
C5407,F,NC,48,40s,M,Y,2014,N,.
C5408,M,NV,26,20s,S,N,2014,N,.
C5409,M,AL,74,60s+,M,N,2014,N,.
C5410,M,VA,20,20s,M,Y,2014,N,.
C5411,M,NY,26,20s,S,N,2014,N,.
C5412,F,AL,43,40s,S,N,2014,N,.
C5413,M,NY,73,60s+,S,N,2014,N,.
C5414,F,WV,50,50s,M,Y,2014,N,.
C5415,M,FL,73,60s+,S,N,2014,N,.
C5416,F,CA,67,60s+,S,N,2014,N,.
C5417,F,NC,21,20s,S,N,2014,Y,2015
C5418,F,MD,26,20s,S,N,2014,N,.
C5419,M,NY,20,20s,S,N,2014,N,.
C5420,F,FL,63,60s+,S,N,2014,N,.
C5421,F,NC,45,40s,M,Y,2014,N,.
C5422,M,TN,41,40s,M,Y,2014,Y,2015
C5423,M,TN,32,30s,M,Y,2014,N,.
C5424,M,OH,26,20s,S,N,2014,N,.
C5425,F,LA,18,10s,S,Y,2014,N,.
C5426,F,CA,78,60s+,M,N,2014,N,.
C5427,F,NC,32,30s,S,N,2014,N,.
C5428,M,NV,37,30s,M,Y,2014,N,.
C5429,M,CA,66,60s+,S,N,2014,N,.
C5430,F,IL,36,30s,S,N,2014,N,.
C5431,M,NH,42,40s,M,N,2014,N,.
C5432,F,TN,33,30s,M,Y,2014,Y,2015
C5433,M,CA,31,30s,S,N,2014,N,.
C5434,F,NH,37,30s,M,Y,2014,N,.
C5435,F,TX,32,30s,M,Y,2014,N,.
C5436,F,SC,40,40s,M,Y,2014,N,.
C5437,M,NV,30,30s,S,N,2014,Y,2015
C5438,M,CA,21,20s,M,Y,2014,N,.
C5439,M,NC,30,30s,S,N,2014,N,.
C5440,F,CA,59,50s,M,N,2014,N,.
C5441,M,OH,66,60s+,S,N,2014,N,.
C5442,M,NY,58,50s,M,N,2014,N,.
C5443,F,TN,49,40s,M,N,2014,N,.
C5444,M,CA,21,20s,S,N,2014,N,.
C5445,F,GA,38,30s,M,Y,2014,N,.
C5446,F,IL,21,20s,M,Y,2014,N,.
C5447,M,OH,58,50s,M,N,2014,N,.
C5448,F,NC,32,30s,M,Y,2014,Y,2015
C5449,F,NC,36,30s,M,Y,2014,N,.
C5450,M,TX,76,60s+,M,N,2014,N,.
C5451,M,MD,23,20s,S,N,2014,N,.
C5452,M,NY,19,10s,S,N,2014,N,.
C5453,F,MS,31,30s,M,Y,2014,N,.
C5454,F,NC,64,60s+,M,N,2014,Y,2015
C5455,M,TN,63,60s+,M,N,2014,N,.
C5456,M,VA,32,30s,M,Y,2014,N,.
C5457,F,CA,51,50s,M,N,2014,N,.
C5458,F,NV,72,60s+,S,N,2014,N,.
C5459,F,SC,53,50s,M,N,2014,N,.
C5460,M,GA,59,50s,M,N,2014,N,.
C5461,F,GA,37,30s,M,Y,2014,N,.
C5462,M,CA,44,40s,M,N,2014,N,.
C5463,M,FL,27,20s,S,N,2014,N,.
C5464,F,CA,48,40s,M,Y,2014,N,.
C5465,F,AL,59,50s,M,N,2014,Y,2015
C5466,M,FL,50,50s,S,N,2014,N,.
C5467,M,VA,55,50s,M,N,2014,N,.
C5468,M,NV,42,40s,M,Y,2014,N,.
C5469,F,CA,25,20s,S,N,2014,N,.
C5470,F,TX,35,30s,M,Y,2014,N,.
C5471,F,CA,55,50s,S,N,2014,Y,2015
C5472,F,TX,43,40s,M,Y,2014,N,.
C5473,M,CA,21,20s,S,N,2014,N,.
C5474,F,FL,67,60s+,S,N,2014,N,.
C5475,F,TN,67,60s+,M,N,2014,N,.
C5476,M,CA,23,20s,S,N,2014,Y,2015
C5477,F,FL,27,20s,M,Y,2014,N,.
C5478,M,NC,28,20s,S,N,2014,N,.
C5479,M,GA,26,20s,M,N,2014,N,.
C5480,M,CA,37,30s,M,N,2014,N,.
C5481,F,NC,19,10s,S,N,2014,N,.
C5482,M,SC,62,60s+,S,N,2014,N,.
C5483,M,GA,45,40s,M,Y,2014,N,.
C5484,M,NC,46,40s,M,Y,2014,N,.
C5485,F,CA,27,20s,S,Y,2014,N,.
C5486,F,VA,23,20s,M,Y,2014,N,.
C5487,M,SC,28,20s,S,N,2014,N,.
C5488,F,CA,56,50s,M,N,2014,N,.
C5489,F,MD,30,30s,M,N,2014,N,.
C5490,F,PA,31,30s,M,Y,2014,Y,2015
C5491,M,FL,58,50s,M,N,2014,N,.
C5492,F,ME,23,20s,S,N,2014,N,.
C5493,M,GA,31,30s,M,N,2014,N,.
C5494,M,ME,23,20s,S,N,2014,Y,2015
C5495,M,SC,23,20s,M,Y,2014,N,.
C5496,F,PA,70,60s+,M,N,2014,N,.
C5497,M,NC,47,40s,M,Y,2014,N,.
C5498,F,KY,24,20s,M,N,2014,N,.
C5499,M,NY,51,50s,S,N,2014,Y,2015
C5500,M,SC,44,40s,M,Y,2014,N,.
C5501,M,MD,31,30s,S,N,2014,N,.
C5502,M,CA,46,40s,S,N,2014,N,.
C5503,F,TN,43,40s,M,N,2014,N,.
C5504,F,CA,60,60s+,S,N,2014,N,.
C5505,F,CA,30,30s,M,Y,2014,N,.
C5506,F,TN,38,30s,M,N,2014,N,.
C5507,M,SC,23,20s,S,N,2014,N,.
C5508,M,WV,41,40s,M,N,2014,N,.
C5509,F,NV,33,30s,M,Y,2014,N,.
C5510,M,FL,45,40s,M,N,2014,Y,2015
C5511,M,FL,55,50s,M,N,2014,N,.
C5512,F,KY,38,30s,M,Y,2014,N,.
C5513,F,LA,36,30s,M,N,2014,Y,2015
C5514,M,AL,34,30s,S,N,2014,N,.
C5515,F,CA,22,20s,S,Y,2014,N,.
C5516,M,TN,60,60s+,S,N,2014,N,.
C5517,M,AL,34,30s,S,N,2014,N,.
C5518,F,MD,47,40s,S,N,2014,N,.
C5519,M,WV,64,60s+,M,N,2014,N,.
C5520,F,NC,56,50s,M,N,2014,N,.
C5521,M,MS,90,60s+,S,N,2014,N,.
C5522,F,VA,39,30s,M,N,2014,Y,2015
C5523,M,MD,63,60s+,S,N,2014,N,.
C5524,M,MA,25,20s,S,N,2014,N,.
C5525,M,VA,24,20s,S,N,2014,N,.
C5526,M,VA,66,60s+,M,N,2014,N,.
C5527,M,CA,35,30s,M,Y,2014,N,.
C5528,F,FL,85,60s+,M,N,2014,N,.
C5529,M,VA,38,30s,M,N,2014,Y,2015
C5530,M,KY,46,40s,M,Y,2014,N,.
C5531,F,NV,24,20s,M,Y,2014,N,.
C5532,M,TX,36,30s,M,N,2014,N,.
C5533,M,MD,48,40s,S,N,2014,N,.
C5534,M,NY,27,20s,M,Y,2014,N,.
C5535,M,NV,52,50s,M,Y,2014,N,.
C5536,M,CA,64,60s+,M,N,2014,N,.
C5537,M,NV,55,50s,S,N,2014,N,.
C5538,F,TX,55,50s,M,N,2014,N,.
