prd_country,num_movies,avrg_budget,country_wrld_bo
Somalia,2,$0,"$26,421"
Macao,2,$0,"$25,021"
Zimbabwe,1,$0,"$22,554"
Bahrain,1,$0,"$19,130"
Uganda,3,$0,"$16,942"
Gabon,1,$0,"$14,787"
Czechoslovakia,2,$0,"$13,692"
Burkina Faso,2,$0,"$7,849"
Bhutan,2,$0,"$4,818"
Lesotho,2,$0,"$3,355"
Uzbekistan,1,$0,"$3,024"
Mozambique,2,$0,"$2,468"
Mali,2,$0,"$1,939"
Ecuador,6,"$800,000","$1,763"
Kyrgyzstan,3,"$1,400,000","$1,238"
Barbados,1,$0,"$1,105"
Antarctica,2,$0,$976
Nicaragua,4,$0,$0
Liechtenstein,4,$0,$0
Trinidad and Tobago,3,$0,$0
Republic of Moldova,2,$0,$0
Liberia,1,$0,$0
Federated States of Micronesia,1,$0,$0
El Salvador,1,$0,$0
Solomon Islands,1,$0,$0
Isle of Man,1,$0,$0
Kiribati,1,$0,$0
Belize,1,$0,$0
Oman,1,$0,$0
Honduras,1,$0,$0
