customer_id,gender,state,age,age_group,married,kids_under12,register_year,drop_flag,drop_year,last_down_date,down_flag,customer_sales
C5128,F,MD,25,20s,S,N,2014,N,.,11-22-2018,1,31.863299580930384
C5129,F,SC,51,50s,M,N,2014,N,.,12-29-2017,1,38.29756596729959
C5130,F,NC,48,40s,M,Y,2014,N,.,12-22-2016,1,38.98569257827743
C5131,F,NC,23,20s,S,N,2014,N,.,12-25-2016,1,30.920178589498388
C5132,F,AL,55,50s,M,N,2014,N,.,12-12-2018,1,43.63450300797763
C5133,M,CA,28,20s,M,Y,2014,N,.,12-27-2016,1,38.835565148502795
C5134,M,LA,31,30s,M,N,2014,N,.,12-22-2016,1,27.907320547253427
C5135,M,NC,50,50s,M,Y,2014,N,.,12-17-2015,1,39.48788214276758
C5136,M,CA,52,50s,M,Y,2014,Y,2015,09-09-2014,1,5.048986508966398
C5137,M,NY,33,30s,M,N,2014,N,.,12-06-2014,1,24.903225186562395
C5138,F,NY,22,20s,M,N,2014,N,.,12-24-2017,1,28.694527388421584
C5139,F,GA,49,40s,S,N,2014,N,.,12-29-2014,1,32.78226377259318
C5140,M,TN,29,20s,S,N,2014,N,.,12-22-2017,1,22.78418610491199
C5141,F,NV,33,30s,M,N,2014,Y,2015,08-20-2014,1,1.0518721893679996
C5142,F,FL,46,40s,M,Y,2014,N,.,12-22-2017,1,38.295231472655175
C5143,F,MD,40,40s,M,Y,2014,N,.,12-15-2017,1,37.03752994759279
C5144,F,TX,40,40s,M,Y,2014,N,.,12-11-2014,1,40.95071756962438
C5145,M,WV,25,20s,S,N,2014,N,.,12-21-2016,1,27.123141539440788
C5146,F,KY,20,20s,S,N,2014,N,.,12-26-2016,1,23.889230021037427
C5147,M,CA,77,60s+,S,N,2014,N,.,12-29-2017,1,38.806143902023585
C5148,M,FL,39,30s,M,Y,2014,N,.,12-28-2016,1,41.97821454878367
C5149,F,FL,30,30s,S,N,2014,Y,2015,12-25-2014,1,2.9978357396987985
C5150,F,CA,60,60s+,M,N,2014,N,.,12-05-2017,1,34.609501658262
C5151,M,TN,55,50s,M,N,2014,N,.,12-31-2017,1,36.13056417791839
C5152,M,NV,46,40s,M,Y,2014,N,.,12-29-2017,1,44.85549917308119
C5153,F,WV,61,60s+,M,N,2014,N,.,12-25-2017,1,43.87907976057198
C5154,M,NY,54,50s,M,Y,2014,N,.,12-30-2016,1,40.650377703879826
C5155,F,CA,38,30s,M,Y,2014,N,.,12-13-2018,1,41.42476916428526
C5156,F,VA,34,30s,S,N,2014,N,.,12-05-2014,1,23.280835595986787
C5157,F,NV,64,60s+,S,N,2014,Y,2015,01-10-2014,1,1.0518721893679996
C5158,M,CA,63,60s+,S,N,2014,N,.,12-30-2017,1,42.68997613986198
C5159,F,CA,47,40s,S,Y,2014,Y,2015,07-04-2014,1,5.7852970415239975
C5160,F,GA,60,60s+,M,N,2014,N,.,12-28-2018,1,44.27673976279199
C5161,F,AL,41,40s,M,Y,2014,N,.,11-23-2017,1,37.38385878881704
C5162,F,TN,55,50s,S,N,2014,N,.,12-22-2018,1,41.93444119727162
C5163,M,MD,77,60s+,S,N,2014,N,.,12-29-2018,1,36.053024949178386
C5164,F,CA,31,30s,S,N,2014,N,.,12-02-2018,1,29.86340502011839
C5165,M,TX,49,40s,M,Y,2014,N,.,12-25-2015,1,44.11081567921759
C5166,F,NY,25,20s,M,N,2014,N,.,12-31-2017,1,32.38868793913759
C5167,F,TX,59,50s,M,N,2014,N,.,12-17-2015,1,40.92651461627183
C5168,F,VA,27,20s,M,Y,2014,N,.,12-25-2016,1,26.692398559117994
C5169,M,OH,47,40s,S,N,2014,N,.,12-26-2014,1,36.435493417715584
C5170,M,NC,34,30s,M,N,2014,N,.,12-23-2016,1,28.385716770183627
C5171,F,NJ,63,60s+,S,N,2014,N,.,12-27-2018,1,42.90736763592839
C5172,M,AZ,37,30s,S,N,2014,N,.,12-19-2015,1,31.021176737539985
C5173,F,LA,18,10s,S,N,2014,N,.,12-21-2018,1,25.06768362866799
C5174,M,MI,68,60s+,S,N,2014,Y,2015,10-16-2014,1,2.945242130230399
C5175,F,NC,45,40s,M,Y,2014,N,.,12-29-2016,1,45.79776293661598
C5176,F,NC,54,50s,M,Y,2014,N,.,12-19-2018,1,39.39835654836278
C5177,F,WI,39,30s,M,Y,2014,N,.,12-31-2015,1,39.73744583999142
C5178,F,TX,49,40s,M,Y,2014,Y,2015,11-09-2014,1,5.890484260460798
C5179,F,FL,58,50s,S,N,2014,N,.,12-30-2017,1,45.99270937548942
C5180,M,CA,56,50s,M,N,2014,N,.,12-31-2016,1,39.52169457025362
C5181,M,CA,22,20s,M,Y,2014,N,.,12-15-2018,1,32.501417126853184
C5182,F,FL,74,60s+,S,N,2014,N,.,12-18-2016,1,43.42597279345398
C5183,F,DC,39,30s,M,Y,2014,N,.,11-17-2016,1,33.158136707592384
C5184,M,SC,26,20s,S,N,2014,N,.,12-31-2016,1,24.722859773587995
C5185,M,TX,30,30s,M,Y,2014,N,.,12-26-2017,1,20.967832719607987
C5186,F,NY,24,20s,M,N,2014,N,.,12-29-2014,1,35.52596720275559
C5187,M,CA,26,20s,S,N,2014,N,.,12-15-2015,1,24.424491190639984
C5188,M,SC,45,40s,M,Y,2014,N,.,12-12-2015,1,51.378681126721176
C5189,F,NC,85,60s+,M,N,2014,Y,2015,12-09-2014,1,7.783854201323197
C5190,M,IN,38,30s,S,N,2014,N,.,12-30-2014,1,39.26156788606399
C5191,F,MS,62,60s+,S,N,2014,Y,2015,12-26-2014,1,7.9468943906752365
C5192,M,SC,83,60s+,M,N,2014,N,.,12-04-2018,1,41.04967006879998
C5193,F,NV,49,40s,M,Y,2014,N,.,11-25-2017,1,41.58132802103119
C5194,M,LA,59,50s,M,N,2014,N,.,12-26-2014,1,34.33073167689023
C5195,M,NC,61,60s+,S,N,2014,N,.,12-31-2014,1,46.397994430014776
C5196,F,FL,72,60s+,S,N,2014,N,.,12-28-2015,1,44.170025893761824
C5197,F,TX,55,50s,M,N,2014,N,.,12-27-2015,1,43.572017692093986
C5198,M,MD,62,60s+,S,N,2014,N,.,12-26-2015,1,45.48514891913678
C5199,M,PA,28,20s,S,N,2014,Y,2015,03-13-2014,1,1.0518721893679996
C5200,F,NC,33,30s,M,Y,2014,N,.,12-14-2014,1,31.555440729750387
C5201,M,KY,49,40s,M,N,2014,N,.,12-24-2017,1,40.28040645753038
C5202,M,SC,73,60s+,M,N,2014,N,.,12-23-2018,1,39.23290280139864
C5203,F,IN,30,30s,S,N,2014,N,.,12-26-2014,1,20.589814125117993
C5204,M,AL,68,60s+,S,N,2014,N,.,12-23-2017,1,32.79867665720278
C5205,F,TN,47,40s,M,Y,2014,N,.,12-30-2014,1,36.71551032102439
C5206,M,TN,70,60s+,M,N,2014,N,.,12-13-2016,1,43.177601458681984
C5207,F,CA,21,20s,S,N,2014,N,.,12-01-2018,1,31.066296019168785
C5208,M,CA,38,30s,M,Y,2014,N,.,12-28-2014,1,41.45491096826342
C5209,F,NC,73,60s+,S,N,2014,N,.,11-28-2016,1,46.83241336522106
C5210,M,AR,29,20s,M,Y,2014,N,.,11-27-2016,1,28.92513988358799
C5211,M,CA,27,20s,M,N,2014,N,.,12-24-2016,1,24.92065708384159
C5212,M,CA,33,30s,M,N,2014,Y,2015,10-04-2014,1,3.365991005977599
C5213,M,SC,32,30s,S,N,2014,N,.,12-31-2017,1,32.387966880991584
C5214,M,TX,29,20s,M,Y,2014,N,.,12-31-2016,1,30.745861435376778
C5215,F,NC,31,30s,M,N,2014,N,.,12-13-2017,1,29.184342089753994
C5216,M,NC,81,60s+,S,N,2014,N,.,12-31-2015,1,39.360539368266785
C5217,M,IL,44,40s,M,N,2014,N,.,12-19-2016,1,35.01012227912063
C5218,F,NC,53,50s,M,Y,2014,N,.,12-23-2018,1,39.06440498003359
C5219,F,IL,25,20s,S,N,2014,N,.,12-30-2017,1,27.521492713112384
C5220,M,VA,48,40s,M,Y,2014,Y,2015,12-24-2014,1,9.992785798995996
C5221,F,SC,28,20s,M,Y,2014,N,.,12-15-2016,1,32.06936788929999
C5222,F,PA,65,60s+,M,N,2014,N,.,12-28-2018,1,36.68300920379238
C5223,F,SC,45,40s,M,Y,2014,N,.,12-09-2016,1,41.243260679999985
C5224,M,SC,20,20s,M,N,2014,N,.,12-16-2016,1,23.174130226317995
C5225,F,FL,49,40s,S,N,2014,N,.,12-23-2018,1,34.384697474210824
C5226,F,NC,51,50s,M,Y,2014,Y,2015,05-16-2014,1,4.786018461624398
C5227,F,KY,46,40s,M,N,2014,N,.,12-26-2015,1,47.42970129839638
C5228,F,NC,30,30s,M,Y,2014,N,.,12-19-2015,1,35.18459257533519
C5229,M,VA,40,40s,M,Y,2014,N,.,12-14-2016,1,48.006549264951616
C5230,F,NV,63,60s+,S,N,2014,N,.,12-31-2015,1,28.49398730629998
C5231,F,IL,29,20s,M,Y,2014,N,.,12-23-2018,1,26.898115870531583
C5232,M,AL,43,40s,S,N,2014,Y,2015,10-11-2014,1,5.133136284115839
C5233,M,IL,38,30s,M,Y,2014,N,.,12-15-2017,1,42.31143715856103
C5234,M,PA,51,50s,M,Y,2014,N,.,12-06-2015,1,35.43338036815283
C5235,F,AL,57,50s,M,N,2014,N,.,12-26-2016,1,37.41009710636359
C5236,M,MA,28,20s,S,N,2014,N,.,12-29-2015,1,24.067245821489585
C5237,M,NC,33,30s,M,Y,2014,N,.,12-31-2015,1,29.565634484771195
C5238,F,NC,66,60s+,M,N,2014,Y,2015,11-07-2014,1,8.840985751638037
C5239,M,NC,50,50s,M,N,2014,N,.,12-10-2014,1,37.62224827310743
C5240,M,SC,39,30s,M,Y,2014,N,.,12-14-2017,1,53.942059104099975
C5241,F,MI,38,30s,M,Y,2014,N,.,12-31-2017,1,38.45435364565358
C5242,M,MI,58,50s,M,N,2014,N,.,12-27-2018,1,37.477715037150475
C5243,M,CA,38,30s,S,N,2014,N,.,12-19-2017,1,36.624586335744794
C5244,F,TX,26,20s,S,Y,2014,Y,2015,11-13-2014,1,3.891927100661598
C5245,F,NC,43,40s,M,N,2014,N,.,12-30-2016,1,34.02066886735358
C5246,M,SC,48,40s,M,N,2014,N,.,12-29-2018,1,40.75510954549878
C5247,F,SC,77,60s+,S,N,2014,N,.,12-26-2017,1,40.957309355699586
C5248,F,TX,28,20s,M,Y,2014,N,.,11-25-2017,1,29.647127667649986
C5249,F,NC,24,20s,M,Y,2014,N,.,12-15-2016,1,26.11063889311799
C5250,F,VA,73,60s+,S,N,2014,N,.,12-24-2014,1,46.14649423525037
C5251,M,IN,70,60s+,M,N,2014,N,.,12-23-2014,1,34.81225294260878
C5252,M,AR,53,50s,S,N,2014,Y,2015,12-26-2014,1,6.626794793018397
C5253,M,OH,39,30s,M,N,2014,N,.,12-28-2014,1,35.79156824474159
C5254,M,WI,51,50s,M,N,2014,N,.,12-31-2016,1,34.99678137744399
C5255,F,CA,60,60s+,S,N,2014,N,.,11-25-2018,1,28.988400811742384
C5256,M,CA,64,60s+,S,N,2014,N,.,12-27-2015,1,40.56676342559543
C5257,F,CA,71,60s+,M,N,2014,N,.,11-30-2018,1,41.38210986859679
C5258,M,DC,53,50s,S,N,2014,N,.,12-22-2014,1,35.54871265391479
C5259,F,CA,36,30s,M,Y,2014,N,.,12-27-2014,1,34.955953077291994
C5260,F,KY,60,60s+,M,N,2014,Y,2015,12-07-2014,1,5.922040426141837
C5261,M,TX,61,60s+,S,N,2014,N,.,12-24-2018,1,36.83545277422647
C5262,M,WV,68,60s+,S,N,2014,N,.,12-25-2017,1,32.83278414183998
C5263,M,NC,45,40s,M,Y,2014,N,.,12-23-2018,1,41.679692656299025
C5264,F,NC,44,40s,M,Y,2014,N,.,12-25-2016,1,35.37373571533599
C5265,M,GA,51,50s,M,Y,2014,N,.,12-29-2015,1,52.30551631242302
C5266,M,MD,28,20s,M,Y,2014,N,.,12-27-2015,1,29.565517685289986
C5267,M,NY,56,50s,M,N,2014,Y,2015,12-26-2014,1,10.150566627401197
C5268,F,NV,30,30s,S,N,2014,N,.,12-18-2017,1,29.148326400599988
C5269,M,NV,31,30s,M,Y,2014,N,.,12-29-2018,1,41.68024186599999
C5270,M,NC,35,30s,S,N,2014,N,.,12-22-2014,1,31.035260612202393
C5271,F,CA,23,20s,M,N,2014,N,.,12-25-2015,1,31.50814258691759
C5272,M,NJ,57,50s,M,N,2014,N,.,12-29-2016,1,39.76391909684319
C5273,F,MD,53,50s,M,Y,2014,N,.,12-10-2016,1,33.44373779246159
C5274,M,CA,26,20s,S,N,2014,N,.,12-23-2017,1,32.33402421088759
C5275,F,FL,62,60s+,M,N,2014,N,.,12-30-2016,1,47.61002587760318
C5276,F,TX,21,20s,S,Y,2014,Y,2015,11-14-2014,1,2.8926485207619987
C5277,M,MI,50,50s,M,N,2014,N,.,12-24-2015,1,43.37303442305839
C5278,F,CA,35,30s,M,Y,2014,N,.,12-24-2016,1,37.90419189234239
C5279,M,PA,78,60s+,S,N,2014,N,.,11-26-2015,1,39.46994688361911
C5280,F,GA,34,30s,M,Y,2014,N,.,12-04-2018,1,27.219727213717988
C5281,M,MI,38,30s,M,Y,2014,N,.,12-23-2017,1,43.480700933022376
C5282,M,SC,69,60s+,M,N,2014,Y,2015,.,0,.
C5283,M,NC,25,20s,M,N,2014,N,.,12-10-2015,1,21.38308873569759
C5284,F,NC,33,30s,S,N,2014,N,.,12-26-2015,1,29.358479273611984
C5285,F,CA,63,60s+,M,N,2014,N,.,12-22-2016,1,36.528902755470384
C5286,M,IN,30,30s,S,N,2014,N,.,12-11-2016,1,25.500409571684624
C5287,F,NV,24,20s,S,N,2014,N,.,11-25-2018,1,31.45481321043119
C5288,F,AL,32,30s,M,Y,2014,N,.,12-29-2018,1,26.824341930661983
C5289,M,TX,86,60s+,S,N,2014,N,.,12-26-2015,1,41.83730039894319
C5290,F,PA,55,50s,M,N,2014,N,.,12-31-2016,1,39.201593923952785
C5291,M,SC,37,30s,M,Y,2014,Y,2015,11-15-2014,1,1.8933699408623992
C5292,F,CA,18,10s,S,N,2014,N,.,12-28-2018,1,26.14150709093718
C5293,F,TX,75,60s+,M,N,2014,N,.,12-18-2015,1,45.83528307422342
C5294,M,DC,57,50s,S,N,2014,N,.,12-21-2017,1,36.78793848218503
C5295,F,NJ,52,50s,M,N,2014,N,.,12-20-2017,1,34.481730094331986
C5296,F,NV,29,20s,M,N,2014,N,.,12-25-2018,1,32.33157909999999
C5297,M,NC,53,50s,M,N,2014,N,.,12-23-2016,1,34.055946279728225
C5298,F,FL,63,60s+,M,N,2014,N,.,12-30-2017,1,47.29927612980782
C5299,F,NJ,48,40s,M,Y,2014,N,.,12-29-2016,1,35.08479418896158
C5300,F,CA,63,60s+,S,N,2014,N,.,12-23-2015,1,39.20480772252998
C5301,F,FL,58,50s,M,N,2014,N,.,12-27-2015,1,38.927905109979996
C5302,F,NC,40,40s,S,Y,2014,N,.,12-31-2015,1,33.71903280140519
C5303,F,PA,67,60s+,S,N,2014,N,.,12-22-2018,1,45.04111283901598
C5304,M,SC,55,50s,M,N,2014,Y,2015,.,0,.
C5305,M,NJ,24,20s,S,N,2014,N,.,12-05-2015,1,21.786824889167594
C5306,M,SC,54,50s,M,N,2014,N,.,12-27-2018,1,41.21798438970119
C5307,M,FL,49,40s,M,Y,2014,N,.,12-26-2018,1,40.54476577506263
C5308,F,FL,60,60s+,S,N,2014,Y,2015,11-14-2014,1,6.679388402486797
C5309,M,LA,45,40s,M,Y,2014,N,.,12-31-2015,1,43.33307267642861
C5310,F,CA,38,30s,M,N,2014,N,.,12-31-2016,1,43.09370540139642
C5311,F,NV,22,20s,S,N,2014,N,.,12-31-2017,1,35.7170717387
C5312,F,OH,59,50s,M,N,2014,N,.,12-27-2016,1,39.15263196156438
C5313,M,CA,25,20s,S,N,2014,N,.,11-22-2015,1,24.615437374291588
C5314,F,CA,38,30s,M,Y,2014,Y,2015,09-03-2014,1,6.731982011955197
C5315,F,CA,63,60s+,M,N,2014,N,.,12-29-2017,1,39.934607295677225
C5316,M,KY,35,30s,S,N,2014,N,.,12-31-2014,1,35.12728646135582
C5317,M,NC,46,40s,M,Y,2014,N,.,12-24-2015,1,35.945326165115425
C5318,F,DC,68,60s+,S,N,2014,N,.,12-29-2017,1,37.82961886981079
C5319,F,CA,53,50s,M,Y,2014,N,.,12-28-2015,1,33.384054861823586
C5320,F,AR,19,10s,S,N,2014,N,.,12-22-2017,1,25.16180159281959
C5321,F,NJ,28,20s,S,N,2014,N,.,12-25-2016,1,25.938727086517186
C5322,M,CA,74,60s+,S,N,2014,N,.,12-13-2015,1,38.657511569153066
C5323,M,CA,36,30s,S,N,2014,N,.,12-20-2016,1,36.12799103387199
C5324,M,CA,57,50s,S,N,2014,Y,2015,11-20-2014,1,11.986083597848356
