customer_id,gender,state,age,age_group,married,kids_under12,register_year,drop_flag,drop_year,last_down_date,down_flag
C5040,M,CA,69,60s+,M,N,2014,N,.,12-26-2017,1
C5041,F,GA,64,60s+,M,N,2014,N,.,12-29-2016,1
C5042,F,IL,64,60s+,M,N,2014,N,.,12-27-2016,1
C5043,M,DC,70,60s+,M,N,2014,N,.,12-27-2014,1
C5044,F,SC,57,50s,M,N,2014,Y,2015,.,0
C5045,M,VA,31,30s,M,Y,2014,N,.,11-25-2017,1
C5046,M,CA,74,60s+,S,N,2014,N,.,12-31-2014,1
C5047,M,MI,46,40s,M,N,2014,N,.,12-21-2014,1
C5048,M,VA,68,60s+,M,N,2014,N,.,12-30-2016,1
C5049,M,LA,18,10s,M,Y,2014,N,.,12-16-2014,1
C5050,M,MA,56,50s,M,N,2014,N,.,12-28-2014,1
C5051,F,NC,25,20s,S,N,2014,Y,2015,08-29-2014,1
C5052,M,FL,64,60s+,S,N,2014,N,.,12-08-2018,1
C5053,M,NC,75,60s+,M,N,2014,N,.,12-19-2014,1
C5054,F,IL,18,10s,M,N,2014,N,.,12-17-2015,1
C5055,F,NV,24,20s,M,Y,2014,N,.,12-05-2018,1
C5056,F,TX,31,30s,M,Y,2014,N,.,12-27-2017,1
C5057,F,TN,41,40s,M,N,2014,N,.,12-28-2014,1
C5058,M,CA,26,20s,M,Y,2014,N,.,11-19-2015,1
C5059,F,NC,72,60s+,S,N,2014,N,.,12-30-2014,1
C5060,F,AR,36,30s,S,N,2014,N,.,12-05-2014,1
C5061,M,GA,32,30s,M,Y,2014,N,.,12-28-2016,1
C5062,F,SC,44,40s,M,Y,2014,N,.,12-25-2015,1
C5063,M,TX,74,60s+,S,N,2014,Y,2015,08-01-2014,1
C5064,F,VA,57,50s,M,N,2014,N,.,12-11-2015,1
C5065,M,NC,47,40s,M,Y,2014,N,.,12-05-2014,1
C5066,F,CA,58,50s,S,N,2014,N,.,12-12-2015,1
C5067,M,WV,70,60s+,S,N,2014,N,.,12-30-2016,1
C5068,F,TN,40,40s,M,Y,2014,N,.,12-15-2014,1
C5069,F,SC,21,20s,M,Y,2014,N,.,12-29-2017,1
C5070,F,NY,41,40s,M,Y,2014,N,.,12-12-2018,1
C5071,M,NC,27,20s,S,N,2014,N,.,12-02-2016,1
C5072,M,MD,62,60s+,S,N,2014,N,.,12-26-2015,1
C5073,F,TX,36,30s,M,N,2014,N,.,12-24-2017,1
C5074,M,NV,33,30s,M,Y,2014,Y,2015,05-21-2014,1
C5075,F,WV,33,30s,S,Y,2014,N,.,12-07-2015,1
C5076,F,NV,33,30s,M,Y,2014,N,.,12-29-2016,1
C5077,M,NC,29,20s,S,N,2014,N,.,12-29-2017,1
C5078,F,PA,60,60s+,M,N,2014,N,.,12-20-2015,1
C5079,M,OR,22,20s,S,N,2014,N,.,12-29-2017,1
C5080,M,TX,51,50s,M,Y,2014,N,.,12-16-2018,1
C5081,F,VA,36,30s,M,Y,2014,Y,2015,12-17-2014,1
C5082,M,CA,21,20s,S,N,2014,N,.,12-06-2016,1
C5083,M,NC,70,60s+,M,N,2014,N,.,12-03-2016,1
C5084,F,TX,20,20s,S,Y,2014,N,.,12-16-2016,1
C5085,F,NY,26,20s,S,N,2014,N,.,12-31-2014,1
C5086,M,NC,48,40s,M,Y,2014,Y,2015,10-18-2014,1
C5087,F,IN,76,60s+,M,N,2014,N,.,12-24-2014,1
C5088,F,FL,21,20s,M,Y,2014,N,.,12-31-2015,1
C5089,M,CT,59,50s,M,N,2014,N,.,12-29-2015,1
C5090,F,TX,19,10s,M,Y,2014,N,.,12-26-2016,1
C5091,F,NC,45,40s,M,Y,2014,N,.,12-29-2015,1
C5092,F,MD,66,60s+,S,N,2014,N,.,12-29-2017,1
C5093,M,MA,36,30s,M,Y,2014,Y,2015,09-21-2014,1
C5094,M,CA,42,40s,M,Y,2014,N,.,12-23-2016,1
C5095,M,MD,59,50s,M,N,2014,N,.,12-09-2016,1
C5096,F,NC,65,60s+,S,N,2014,N,.,12-22-2016,1
C5097,M,SC,22,20s,S,N,2014,N,.,12-18-2017,1
C5098,M,VA,58,50s,M,N,2014,N,.,12-24-2016,1
C5099,M,NC,36,30s,M,N,2014,Y,2015,11-16-2014,1
C5100,M,NC,27,20s,M,Y,2014,N,.,11-17-2017,1
C5101,F,MA,54,50s,M,Y,2014,N,.,12-23-2016,1
C5102,F,TX,47,40s,M,N,2014,N,.,12-25-2016,1
C5103,M,VA,42,40s,M,Y,2014,N,.,12-27-2014,1
C5104,F,NC,24,20s,M,Y,2014,N,.,10-31-2015,1
C5105,M,NV,20,20s,S,N,2014,N,.,12-06-2017,1
C5106,M,NC,57,50s,S,N,2014,N,.,12-28-2014,1
C5107,M,CA,35,30s,S,N,2014,N,.,12-29-2017,1
C5108,F,AR,44,40s,M,Y,2014,N,.,12-22-2017,1
C5109,M,CA,55,50s,M,N,2014,N,.,12-08-2018,1
C5110,M,NV,44,40s,M,N,2014,Y,2015,.,0
C5111,F,VA,34,30s,M,Y,2014,N,.,12-13-2015,1
C5112,F,FL,66,60s+,M,N,2014,N,.,12-08-2017,1
C5113,F,NC,39,30s,M,N,2014,N,.,12-23-2018,1
C5114,F,TX,40,40s,M,Y,2014,N,.,11-22-2018,1
C5115,M,MD,63,60s+,M,N,2014,Y,2015,08-10-2014,1
C5116,M,VA,59,50s,M,N,2014,N,.,11-07-2015,1
C5117,F,CA,19,10s,S,N,2014,N,.,12-29-2018,1
C5118,F,SC,22,20s,M,Y,2014,N,.,12-17-2018,1
C5119,M,CA,47,40s,M,N,2014,N,.,12-23-2018,1
C5120,F,NY,85,60s+,S,N,2014,N,.,12-30-2017,1
C5121,F,AR,58,50s,S,N,2014,N,.,11-20-2015,1
C5122,M,FL,42,40s,M,Y,2014,N,.,12-14-2018,1
C5123,M,NC,40,40s,M,Y,2014,N,.,12-27-2014,1
C5124,F,NC,29,20s,M,Y,2014,N,.,12-11-2016,1
C5125,M,NC,58,50s,M,N,2014,Y,2015,10-22-2014,1
C5126,F,LA,48,40s,S,N,2014,N,.,12-17-2017,1
C5127,M,NY,19,10s,S,N,2014,N,.,12-11-2015,1
C5128,F,MD,25,20s,S,N,2014,N,.,11-22-2018,1
C5129,F,SC,51,50s,M,N,2014,N,.,12-29-2017,1
C5130,F,NC,48,40s,M,Y,2014,N,.,12-22-2016,1
C5131,F,NC,23,20s,S,N,2014,N,.,12-25-2016,1
C5132,F,AL,55,50s,M,N,2014,N,.,12-12-2018,1
C5133,M,CA,28,20s,M,Y,2014,N,.,12-27-2016,1
C5134,M,LA,31,30s,M,N,2014,N,.,12-22-2016,1
C5135,M,NC,50,50s,M,Y,2014,N,.,12-17-2015,1
C5136,M,CA,52,50s,M,Y,2014,Y,2015,09-09-2014,1
C5137,M,NY,33,30s,M,N,2014,N,.,12-06-2014,1
C5138,F,NY,22,20s,M,N,2014,N,.,12-24-2017,1
C5139,F,GA,49,40s,S,N,2014,N,.,12-29-2014,1
C5140,M,TN,29,20s,S,N,2014,N,.,12-22-2017,1
C5141,F,NV,33,30s,M,N,2014,Y,2015,08-20-2014,1
C5142,F,FL,46,40s,M,Y,2014,N,.,12-22-2017,1
C5143,F,MD,40,40s,M,Y,2014,N,.,12-15-2017,1
C5144,F,TX,40,40s,M,Y,2014,N,.,12-11-2014,1
C5145,M,WV,25,20s,S,N,2014,N,.,12-21-2016,1
C5146,F,KY,20,20s,S,N,2014,N,.,12-26-2016,1
C5147,M,CA,77,60s+,S,N,2014,N,.,12-29-2017,1
C5148,M,FL,39,30s,M,Y,2014,N,.,12-28-2016,1
C5149,F,FL,30,30s,S,N,2014,Y,2015,12-25-2014,1
C5150,F,CA,60,60s+,M,N,2014,N,.,12-05-2017,1
C5151,M,TN,55,50s,M,N,2014,N,.,12-31-2017,1
C5152,M,NV,46,40s,M,Y,2014,N,.,12-29-2017,1
C5153,F,WV,61,60s+,M,N,2014,N,.,12-25-2017,1
C5154,M,NY,54,50s,M,Y,2014,N,.,12-30-2016,1
C5155,F,CA,38,30s,M,Y,2014,N,.,12-13-2018,1
C5156,F,VA,34,30s,S,N,2014,N,.,12-05-2014,1
C5157,F,NV,64,60s+,S,N,2014,Y,2015,01-10-2014,1
C5158,M,CA,63,60s+,S,N,2014,N,.,12-30-2017,1
C5159,F,CA,47,40s,S,Y,2014,Y,2015,07-04-2014,1
C5160,F,GA,60,60s+,M,N,2014,N,.,12-28-2018,1
C5161,F,AL,41,40s,M,Y,2014,N,.,11-23-2017,1
C5162,F,TN,55,50s,S,N,2014,N,.,12-22-2018,1
C5163,M,MD,77,60s+,S,N,2014,N,.,12-29-2018,1
C5164,F,CA,31,30s,S,N,2014,N,.,12-02-2018,1
C5165,M,TX,49,40s,M,Y,2014,N,.,12-25-2015,1
C5166,F,NY,25,20s,M,N,2014,N,.,12-31-2017,1
C5167,F,TX,59,50s,M,N,2014,N,.,12-17-2015,1
C5168,F,VA,27,20s,M,Y,2014,N,.,12-25-2016,1
C5169,M,OH,47,40s,S,N,2014,N,.,12-26-2014,1
C5170,M,NC,34,30s,M,N,2014,N,.,12-23-2016,1
C5171,F,NJ,63,60s+,S,N,2014,N,.,12-27-2018,1
C5172,M,AZ,37,30s,S,N,2014,N,.,12-19-2015,1
C5173,F,LA,18,10s,S,N,2014,N,.,12-21-2018,1
C5174,M,MI,68,60s+,S,N,2014,Y,2015,10-16-2014,1
C5175,F,NC,45,40s,M,Y,2014,N,.,12-29-2016,1
C5176,F,NC,54,50s,M,Y,2014,N,.,12-19-2018,1
C5177,F,WI,39,30s,M,Y,2014,N,.,12-31-2015,1
C5178,F,TX,49,40s,M,Y,2014,Y,2015,11-09-2014,1
C5179,F,FL,58,50s,S,N,2014,N,.,12-30-2017,1
C5180,M,CA,56,50s,M,N,2014,N,.,12-31-2016,1
C5181,M,CA,22,20s,M,Y,2014,N,.,12-15-2018,1
C5182,F,FL,74,60s+,S,N,2014,N,.,12-18-2016,1
C5183,F,DC,39,30s,M,Y,2014,N,.,11-17-2016,1
C5184,M,SC,26,20s,S,N,2014,N,.,12-31-2016,1
C5185,M,TX,30,30s,M,Y,2014,N,.,12-26-2017,1
C5186,F,NY,24,20s,M,N,2014,N,.,12-29-2014,1
C5187,M,CA,26,20s,S,N,2014,N,.,12-15-2015,1
C5188,M,SC,45,40s,M,Y,2014,N,.,12-12-2015,1
C5189,F,NC,85,60s+,M,N,2014,Y,2015,12-09-2014,1
C5190,M,IN,38,30s,S,N,2014,N,.,12-30-2014,1
C5191,F,MS,62,60s+,S,N,2014,Y,2015,12-26-2014,1
C5192,M,SC,83,60s+,M,N,2014,N,.,12-04-2018,1
C5193,F,NV,49,40s,M,Y,2014,N,.,11-25-2017,1
C5194,M,LA,59,50s,M,N,2014,N,.,12-26-2014,1
C5195,M,NC,61,60s+,S,N,2014,N,.,12-31-2014,1
C5196,F,FL,72,60s+,S,N,2014,N,.,12-28-2015,1
C5197,F,TX,55,50s,M,N,2014,N,.,12-27-2015,1
C5198,M,MD,62,60s+,S,N,2014,N,.,12-26-2015,1
C5199,M,PA,28,20s,S,N,2014,Y,2015,03-13-2014,1
C5200,F,NC,33,30s,M,Y,2014,N,.,12-14-2014,1
C5201,M,KY,49,40s,M,N,2014,N,.,12-24-2017,1
C5202,M,SC,73,60s+,M,N,2014,N,.,12-23-2018,1
C5203,F,IN,30,30s,S,N,2014,N,.,12-26-2014,1
C5204,M,AL,68,60s+,S,N,2014,N,.,12-23-2017,1
C5205,F,TN,47,40s,M,Y,2014,N,.,12-30-2014,1
C5206,M,TN,70,60s+,M,N,2014,N,.,12-13-2016,1
C5207,F,CA,21,20s,S,N,2014,N,.,12-01-2018,1
C5208,M,CA,38,30s,M,Y,2014,N,.,12-28-2014,1
C5209,F,NC,73,60s+,S,N,2014,N,.,11-28-2016,1
C5210,M,AR,29,20s,M,Y,2014,N,.,11-27-2016,1
C5211,M,CA,27,20s,M,N,2014,N,.,12-24-2016,1
C5212,M,CA,33,30s,M,N,2014,Y,2015,10-04-2014,1
C5213,M,SC,32,30s,S,N,2014,N,.,12-31-2017,1
C5214,M,TX,29,20s,M,Y,2014,N,.,12-31-2016,1
C5215,F,NC,31,30s,M,N,2014,N,.,12-13-2017,1
C5216,M,NC,81,60s+,S,N,2014,N,.,12-31-2015,1
C5217,M,IL,44,40s,M,N,2014,N,.,12-19-2016,1
C5218,F,NC,53,50s,M,Y,2014,N,.,12-23-2018,1
C5219,F,IL,25,20s,S,N,2014,N,.,12-30-2017,1
C5220,M,VA,48,40s,M,Y,2014,Y,2015,12-24-2014,1
C5221,F,SC,28,20s,M,Y,2014,N,.,12-15-2016,1
C5222,F,PA,65,60s+,M,N,2014,N,.,12-28-2018,1
C5223,F,SC,45,40s,M,Y,2014,N,.,12-09-2016,1
C5224,M,SC,20,20s,M,N,2014,N,.,12-16-2016,1
C5225,F,FL,49,40s,S,N,2014,N,.,12-23-2018,1
C5226,F,NC,51,50s,M,Y,2014,Y,2015,05-16-2014,1
C5227,F,KY,46,40s,M,N,2014,N,.,12-26-2015,1
C5228,F,NC,30,30s,M,Y,2014,N,.,12-19-2015,1
C5229,M,VA,40,40s,M,Y,2014,N,.,12-14-2016,1
C5230,F,NV,63,60s+,S,N,2014,N,.,12-31-2015,1
C5231,F,IL,29,20s,M,Y,2014,N,.,12-23-2018,1
C5232,M,AL,43,40s,S,N,2014,Y,2015,10-11-2014,1
C5233,M,IL,38,30s,M,Y,2014,N,.,12-15-2017,1
C5234,M,PA,51,50s,M,Y,2014,N,.,12-06-2015,1
C5235,F,AL,57,50s,M,N,2014,N,.,12-26-2016,1
C5236,M,MA,28,20s,S,N,2014,N,.,12-29-2015,1
C5237,M,NC,33,30s,M,Y,2014,N,.,12-31-2015,1
C5238,F,NC,66,60s+,M,N,2014,Y,2015,11-07-2014,1
C5239,M,NC,50,50s,M,N,2014,N,.,12-10-2014,1
C5240,M,SC,39,30s,M,Y,2014,N,.,12-14-2017,1
C5241,F,MI,38,30s,M,Y,2014,N,.,12-31-2017,1
C5242,M,MI,58,50s,M,N,2014,N,.,12-27-2018,1
C5243,M,CA,38,30s,S,N,2014,N,.,12-19-2017,1
C5244,F,TX,26,20s,S,Y,2014,Y,2015,11-13-2014,1
C5245,F,NC,43,40s,M,N,2014,N,.,12-30-2016,1
C5246,M,SC,48,40s,M,N,2014,N,.,12-29-2018,1
C5247,F,SC,77,60s+,S,N,2014,N,.,12-26-2017,1
C5248,F,TX,28,20s,M,Y,2014,N,.,11-25-2017,1
C5249,F,NC,24,20s,M,Y,2014,N,.,12-15-2016,1
C5250,F,VA,73,60s+,S,N,2014,N,.,12-24-2014,1
C5251,M,IN,70,60s+,M,N,2014,N,.,12-23-2014,1
C5252,M,AR,53,50s,S,N,2014,Y,2015,12-26-2014,1
C5253,M,OH,39,30s,M,N,2014,N,.,12-28-2014,1
C5254,M,WI,51,50s,M,N,2014,N,.,12-31-2016,1
C5255,F,CA,60,60s+,S,N,2014,N,.,11-25-2018,1
C5256,M,CA,64,60s+,S,N,2014,N,.,12-27-2015,1
C5257,F,CA,71,60s+,M,N,2014,N,.,11-30-2018,1
C5258,M,DC,53,50s,S,N,2014,N,.,12-22-2014,1
C5259,F,CA,36,30s,M,Y,2014,N,.,12-27-2014,1
C5260,F,KY,60,60s+,M,N,2014,Y,2015,12-07-2014,1
C5261,M,TX,61,60s+,S,N,2014,N,.,12-24-2018,1
C5262,M,WV,68,60s+,S,N,2014,N,.,12-25-2017,1
C5263,M,NC,45,40s,M,Y,2014,N,.,12-23-2018,1
C5264,F,NC,44,40s,M,Y,2014,N,.,12-25-2016,1
C5265,M,GA,51,50s,M,Y,2014,N,.,12-29-2015,1
C5266,M,MD,28,20s,M,Y,2014,N,.,12-27-2015,1
C5267,M,NY,56,50s,M,N,2014,Y,2015,12-26-2014,1
C5268,F,NV,30,30s,S,N,2014,N,.,12-18-2017,1
C5269,M,NV,31,30s,M,Y,2014,N,.,12-29-2018,1
C5270,M,NC,35,30s,S,N,2014,N,.,12-22-2014,1
C5271,F,CA,23,20s,M,N,2014,N,.,12-25-2015,1
C5272,M,NJ,57,50s,M,N,2014,N,.,12-29-2016,1
C5273,F,MD,53,50s,M,Y,2014,N,.,12-10-2016,1
C5274,M,CA,26,20s,S,N,2014,N,.,12-23-2017,1
C5275,F,FL,62,60s+,M,N,2014,N,.,12-30-2016,1
C5276,F,TX,21,20s,S,Y,2014,Y,2015,11-14-2014,1
C5277,M,MI,50,50s,M,N,2014,N,.,12-24-2015,1
C5278,F,CA,35,30s,M,Y,2014,N,.,12-24-2016,1
C5279,M,PA,78,60s+,S,N,2014,N,.,11-26-2015,1
C5280,F,GA,34,30s,M,Y,2014,N,.,12-04-2018,1
C5281,M,MI,38,30s,M,Y,2014,N,.,12-23-2017,1
C5282,M,SC,69,60s+,M,N,2014,Y,2015,.,0
C5283,M,NC,25,20s,M,N,2014,N,.,12-10-2015,1
C5284,F,NC,33,30s,S,N,2014,N,.,12-26-2015,1
C5285,F,CA,63,60s+,M,N,2014,N,.,12-22-2016,1
C5286,M,IN,30,30s,S,N,2014,N,.,12-11-2016,1
C5287,F,NV,24,20s,S,N,2014,N,.,11-25-2018,1
C5288,F,AL,32,30s,M,Y,2014,N,.,12-29-2018,1
C5289,M,TX,86,60s+,S,N,2014,N,.,12-26-2015,1
C5290,F,PA,55,50s,M,N,2014,N,.,12-31-2016,1
C5291,M,SC,37,30s,M,Y,2014,Y,2015,11-15-2014,1
C5292,F,CA,18,10s,S,N,2014,N,.,12-28-2018,1
C5293,F,TX,75,60s+,M,N,2014,N,.,12-18-2015,1
C5294,M,DC,57,50s,S,N,2014,N,.,12-21-2017,1
C5295,F,NJ,52,50s,M,N,2014,N,.,12-20-2017,1
C5296,F,NV,29,20s,M,N,2014,N,.,12-25-2018,1
C5297,M,NC,53,50s,M,N,2014,N,.,12-23-2016,1
C5298,F,FL,63,60s+,M,N,2014,N,.,12-30-2017,1
C5299,F,NJ,48,40s,M,Y,2014,N,.,12-29-2016,1
C5300,F,CA,63,60s+,S,N,2014,N,.,12-23-2015,1
C5301,F,FL,58,50s,M,N,2014,N,.,12-27-2015,1
C5302,F,NC,40,40s,S,Y,2014,N,.,12-31-2015,1
C5303,F,PA,67,60s+,S,N,2014,N,.,12-22-2018,1
C5304,M,SC,55,50s,M,N,2014,Y,2015,.,0
C5305,M,NJ,24,20s,S,N,2014,N,.,12-05-2015,1
C5306,M,SC,54,50s,M,N,2014,N,.,12-27-2018,1
C5307,M,FL,49,40s,M,Y,2014,N,.,12-26-2018,1
C5308,F,FL,60,60s+,S,N,2014,Y,2015,11-14-2014,1
C5309,M,LA,45,40s,M,Y,2014,N,.,12-31-2015,1
C5310,F,CA,38,30s,M,N,2014,N,.,12-31-2016,1
C5311,F,NV,22,20s,S,N,2014,N,.,12-31-2017,1
C5312,F,OH,59,50s,M,N,2014,N,.,12-27-2016,1
C5313,M,CA,25,20s,S,N,2014,N,.,11-22-2015,1
C5314,F,CA,38,30s,M,Y,2014,Y,2015,09-03-2014,1
C5315,F,CA,63,60s+,M,N,2014,N,.,12-29-2017,1
C5316,M,KY,35,30s,S,N,2014,N,.,12-31-2014,1
C5317,M,NC,46,40s,M,Y,2014,N,.,12-24-2015,1
C5318,F,DC,68,60s+,S,N,2014,N,.,12-29-2017,1
C5319,F,CA,53,50s,M,Y,2014,N,.,12-28-2015,1
C5320,F,AR,19,10s,S,N,2014,N,.,12-22-2017,1
C5321,F,NJ,28,20s,S,N,2014,N,.,12-25-2016,1
C5322,M,CA,74,60s+,S,N,2014,N,.,12-13-2015,1
C5323,M,CA,36,30s,S,N,2014,N,.,12-20-2016,1
C5324,M,CA,57,50s,S,N,2014,Y,2015,11-20-2014,1
C5325,M,NV,50,50s,M,N,2014,N,.,12-03-2017,1
C5326,F,NC,54,50s,M,Y,2014,N,.,12-26-2014,1
C5327,M,SC,40,40s,S,N,2014,N,.,12-15-2015,1
C5328,F,NY,50,50s,M,N,2014,N,.,12-24-2014,1
C5329,F,FL,77,60s+,S,N,2014,N,.,12-31-2014,1
C5330,M,NC,62,60s+,M,N,2014,N,.,12-30-2016,1
C5331,F,NV,60,60s+,M,N,2014,N,.,12-10-2017,1
C5332,F,NV,30,30s,M,N,2014,N,.,12-15-2018,1
C5333,M,GA,27,20s,S,N,2014,N,.,12-29-2018,1
C5334,M,SC,27,20s,M,Y,2014,N,.,12-11-2016,1
C5335,F,PA,43,40s,M,Y,2014,Y,2015,10-13-2014,1
C5336,F,NC,45,40s,M,N,2014,N,.,12-31-2016,1
C5337,M,MI,23,20s,S,N,2014,N,.,12-29-2017,1
C5338,M,AL,68,60s+,S,N,2014,N,.,12-25-2018,1
C5339,F,CT,53,50s,M,N,2014,N,.,12-25-2017,1
C5340,M,IL,23,20s,M,Y,2014,Y,2015,10-23-2014,1
C5341,F,MD,42,40s,S,N,2014,N,.,12-30-2014,1
C5342,M,LA,67,60s+,M,N,2014,N,.,12-29-2016,1
C5343,F,CA,24,20s,S,N,2014,N,.,12-11-2015,1
C5344,M,NC,37,30s,S,N,2014,N,.,12-30-2016,1
C5345,F,RI,28,20s,S,N,2014,Y,2015,.,0
C5346,M,NY,72,60s+,S,N,2014,N,.,12-27-2014,1
C5347,M,SC,64,60s+,S,N,2014,N,.,12-16-2018,1
C5348,M,PA,50,50s,M,Y,2014,N,.,12-30-2015,1
C5349,F,NV,37,30s,M,Y,2014,N,.,12-28-2018,1
C5350,M,NV,50,50s,M,Y,2014,N,.,12-26-2017,1
C5351,M,NC,52,50s,M,Y,2014,N,.,12-28-2017,1
C5352,M,OH,44,40s,S,N,2014,N,.,12-10-2018,1
C5353,F,FL,59,50s,M,N,2014,N,.,12-23-2016,1
C5354,F,NY,48,40s,M,N,2014,N,.,11-30-2014,1
C5355,F,NC,61,60s+,M,N,2014,N,.,12-25-2018,1
C5356,M,PA,80,60s+,S,N,2014,N,.,12-27-2014,1
C5357,F,CA,32,30s,M,Y,2014,N,.,12-25-2016,1
C5358,M,MD,29,20s,S,N,2014,Y,2015,12-06-2014,1
C5359,M,MI,45,40s,M,Y,2014,N,.,12-06-2014,1
C5360,F,NY,87,60s+,S,N,2014,N,.,12-27-2015,1
C5361,F,NJ,38,30s,M,N,2014,N,.,12-23-2014,1
C5362,M,NV,27,20s,S,N,2014,N,.,12-28-2017,1
C5363,M,NC,23,20s,M,Y,2014,N,.,12-29-2017,1
C5364,F,CA,41,40s,M,Y,2014,N,.,12-04-2015,1
C5365,M,CA,67,60s+,M,N,2014,N,.,12-29-2017,1
C5366,M,VA,42,40s,M,Y,2014,Y,2015,12-19-2014,1
C5367,F,NV,42,40s,M,Y,2014,N,.,12-30-2017,1
C5368,F,NV,43,40s,M,Y,2014,N,.,12-30-2016,1
C5369,F,MD,49,40s,S,N,2014,N,.,12-23-2016,1
C5370,F,CA,49,40s,M,Y,2014,N,.,12-22-2017,1
C5371,F,SC,42,40s,M,Y,2014,N,.,12-16-2017,1
C5372,M,TX,75,60s+,S,N,2014,N,.,12-13-2016,1
C5373,M,MD,59,50s,S,N,2014,Y,2015,11-17-2014,1
C5374,F,FL,30,30s,S,Y,2014,N,.,12-30-2016,1
C5375,F,SC,61,60s+,M,N,2014,N,.,12-29-2016,1
C5376,M,KY,24,20s,S,N,2014,Y,2015,09-01-2014,1
C5377,F,FL,45,40s,M,Y,2014,N,.,12-26-2015,1
C5378,M,NV,56,50s,M,N,2014,N,.,12-23-2018,1
C5379,F,MD,74,60s+,M,N,2014,N,.,12-13-2015,1
C5380,F,NC,69,60s+,M,N,2014,N,.,12-30-2015,1
C5381,F,NC,29,20s,M,Y,2014,N,.,12-27-2014,1
C5382,M,NV,40,40s,M,N,2014,N,.,12-23-2016,1
C5383,M,NV,60,60s+,M,N,2014,N,.,12-17-2017,1
C5384,M,NC,55,50s,M,N,2014,N,.,12-16-2016,1
C5385,M,NV,33,30s,S,N,2014,N,.,11-11-2017,1
C5386,M,NV,48,40s,M,Y,2014,N,.,12-29-2017,1
C5387,F,OH,82,60s+,S,N,2014,Y,2015,12-05-2014,1
C5388,M,NC,81,60s+,S,N,2014,N,.,12-31-2017,1
C5389,M,GA,24,20s,S,N,2014,N,.,12-17-2017,1
C5390,M,PA,70,60s+,S,N,2014,N,.,12-22-2016,1
C5391,M,NV,45,40s,M,Y,2014,N,.,12-09-2016,1
C5392,M,LA,43,40s,M,N,2014,N,.,12-13-2015,1
C5393,M,TX,51,50s,M,Y,2014,N,.,12-30-2017,1
C5394,F,MD,58,50s,M,N,2014,N,.,12-19-2015,1
C5395,F,CA,28,20s,M,Y,2014,Y,2015,12-15-2014,1
C5396,F,GA,50,50s,M,Y,2014,N,.,12-11-2018,1
C5397,M,NV,53,50s,S,N,2014,N,.,12-29-2017,1
C5398,M,MD,62,60s+,S,N,2014,Y,2015,10-18-2014,1
C5399,M,MD,83,60s+,S,N,2014,N,.,12-16-2018,1
